fecha,mes,dia,dia_del_año,radiacion_Wm2,temp_ambiente_C,temp_ambiente_K,humedad_relativa,presion_vapor_Pa,velocidad_viento,temp_vidrio_K,temp_agua_K,temp_base_K,temp_agua_C,temp_vidrio_C,temp_base_C,h_conv_ext,perdida_conv_vidrio,temp_cielo_K,perdida_rad_vidrio,perdida_conv_paredes,perdida_conduccion,perdida_total,energia_solar,energia_perdida,energia_util,energia_calentamiento,energia_evaporacion,masa_evaporada,produccion_litros,GOR,eficiencia_termica,area_captacion,temporada
2024-01-01,1,1,0,246.56252397656976,24.188643429755757,297.33864342975573,44.637944475288045,1347.071497179698,1.4354267359131336,303.2561440051934,317.06364534788133,319.06364534788133,43.913645347881356,30.106144005193414,45.913645347881356,11.154621596469909,1.1138762202058126,291.33864342975573,1.1390514888382752,13.861570740339053,0.9415799236040371,17.05607837298718,466988.8183248182,368411.29285652307,163446.08641368634,201460.83885246253,0.0,0.0,0.0,0.0,0.3499999999999999,0.1125,invierno
2024-01-02,1,2,1,183.06467855832804,26.064582290844513,299.2145822908445,32.89576414816091,1109.963504769177,1.562908152252872,303.60813457624437,313.85975657551074,315.85975657551074,40.70975657551077,30.45813457624439,42.70975657551077,11.639050978560913,0.8629331460762737,293.2145822908445,1.0045051832820913,10.738723595615824,0.6990925598568587,13.305254484831046,346724.0541595451,287393.4968723506,121353.41895584078,174637.88205017595,0.0,0.0,0.0,0.0,0.35,0.1125,invierno
2024-01-03,1,3,2,261.65996248551573,25.43008204775865,298.58008204775865,46.76201948145595,1519.6419376381339,0.5,304.859921147411,319.5128790465999,321.5128790465999,46.362879046599915,31.709921147411023,48.362879046599915,7.6,0.8053893645304139,292.58008204775865,1.1906372349585288,10.022623203045185,0.9992344477734133,13.01788425030754,495583.3299939731,281186.29980664287,214397.0301873302,221965.8233781343,0.0,0.0,0.0,0.0,0.43261550018225503,0.1125,invierno
2024-01-04,1,4,3,349.19409431624905,25.685333141059758,298.8353331410597,30.0,989.7929152182586,2.2330621397619845,307.2159914046497,326.77086068635964,328.77086068635964,53.62086068635966,34.06599140464971,55.62086068635966,14.185636131095542,2.0061838462445922,292.8353331410597,1.4129076612681815,24.96584341993274,1.3335122602838008,29.718447187729314,661372.7619297343,641918.4592549532,231480.46667540696,282729.6456662029,0.0,0.0,0.0,0.0,0.35,0.1125,invierno
2024-01-05,1,5,4,173.4757712031129,23.073275493846864,296.2232754938468,52.97104829756766,1494.7480504723844,1.7771907807183938,300.3866940027215,310.1013371900958,312.1013371900958,36.95133719009584,27.23669400272155,38.95133719009584,12.453324966729896,0.8749418118218125,290.2232754938468,0.9518996505321579,10.888164769338083,0.6624741698868233,13.377480401578875,328562.6870441452,288953.5766741037,114996.94046545081,143172.3949554822,0.0,0.0,0.0,0.0,0.35,0.1125,invierno
2024-01-06,1,6,5,173.47741298052844,25.465835368190092,298.61583536819006,47.40546674844166,1543.8254160576828,2.2984080878877213,302.77929327972276,312.4940284066323,314.4940284066323,39.34402840663233,29.629293279722788,41.34402840663233,14.43395073397334,1.0141055951293332,292.61583536819006,0.975223828403642,12.61998073938717,0.6624804395527424,15.271790602472889,328565.7965665611,329870.6770134144,114998.02879829638,163204.0058203257,0.0,0.0,0.0,0.0,0.35,0.1125,invierno
2024-01-07,1,7,6,354.81239022618564,26.886299719149612,300.0362997191496,45.239789267449986,1602.171952533072,0.5,308.5517970845781,328.42129093724446,330.42129093724446,55.27129093724449,35.40179708457811,57.27129093724449,7.6,1.0921125371162017,294.0362997191496,1.4443283896894343,13.590733795223814,1.3549675672312822,17.482142289260732,672013.8006637058,377614.2734480318,294399.527215674,296547.0477266107,0.0,0.0,0.0,0.0,0.4380855377150203,0.1125,invierno
2024-01-08,1,8,7,273.6345815907374,29.74573566879839,302.89573566879835,52.50640176376637,2195.522703023024,3.1706997638245817,309.46296562697603,324.78650219605737,326.78650219605737,51.63650219605739,36.31296562697605,53.63650219605739,17.74865910253341,1.9669419974639304,296.89573566879835,1.2739000894928432,24.477500412884577,1.0449634610899465,28.763305960931298,518263.2293381599,621287.408756116,181392.13026835595,266116.5963853923,0.0,0.0,0.0,0.0,0.35,0.1125,invierno
2024-01-09,1,9,8,149.9436700819513,28.270117323668885,301.4201173236689,59.334236368937,2278.234821873222,1.3883282974758606,305.0187654056357,313.415610930225,315.415610930225,40.26561093022502,31.868765405635713,42.26561093022502,10.97564753040827,0.666520193255302,295.4201173236689,0.9445999435755223,8.294473516066034,0.5726091181403105,10.478202771037168,283992.94498425425,226329.1798544028,99397.53074448899,170919.4947078437,0.0,0.0,0.0,0.0,0.35000000000000003,0.1125,invierno
2024-01-10,1,10,9,251.14711303404297,31.851852217947933,305.0018522179479,52.82319257449254,2490.5923919548068,2.386546253390013,311.02938293076494,325.09362126067134,327.09362126067134,51.943621260671364,37.87938293076496,53.943621260671364,14.76887576288205,1.5022100067955473,299.0018522179479,1.2414291334457486,18.694168973455646,0.9590876816561155,22.396895795353057,475672.0188044571,483772.949179626,166485.20658155996,268687.79719434044,0.0,0.0,0.0,0.0,0.35,0.1125,invierno
2024-01-11,1,11,10,150.54933939420027,23.090262156749116,296.2402621567491,30.0,847.4158975997506,0.6680752582995748,299.85344630220993,308.28420930828514,310.28420930828514,35.134209308285165,26.703446302209954,37.134209308285165,8.238685981538385,0.5023331364587312,290.2402621567491,0.897978437757879,6.251256809264191,0.5749220651995754,8.226490448680376,285140.0811826557,177692.19369149613,107447.88749115958,127959.40032896321,0.0,0.0,0.0,0.0,0.3768249172319284,0.1125,invierno
